Tag,Name,Description
6,Object Identifier (OID),
41,Country code and national data,
42,Issuer Identification Number (IIN),The number that identifies the major industry and the card issuer and that forms the first part of the Primary Account Number (PAN)
42,Issuer Identification Number (IIN),
43,Card service data,
44,Initial access data,
45,Card issuer`s data,
46,Pre-issuing data,
47,Card capabilities,
48,Status information,
4D,Extended header list,
4F,Application Identifier (ADF Name),The ADF Name identifies the application as described in [ISO 7816-5]. The AID is made up of the Registered Application Provider Identifier (RID) and the Proprietary Identifier Extension (PIX).
50,Application Label,Mnemonic associated with the AID according to ISO/IEC 7816-5
50,Application Label,Mnemonic associated with AID according to [ISO 7816-5]. Used in application selection. Application Label is optional in the File Control Information (FCI) of an Application Definition File (ADF) and optional in an ADF directory entry.
50,Application Label,Mnemonic associated with the AID according to ISO/IEC 7816-5 (with the special character limited to space).
51,Path,A path may reference any file. It is a concatenation of file identifiers. The path begins with the identifier of a DF (the MF for an absolute path or the current DF for a relative path) and ends with the identifier of the file itself.
52,Command to perform,
53,"Discretionary data, discretionary template",
56,Track 1 Data,"Track 1 Data contains the data objects of the track 1 according to [ISO/IEC 7813] Structure B, excluding start sentinel, end sentinel and LRC. The Track 1 Data may be present in the file read using the READ RECORD command during a mag-stripe mode transaction."
56,Track 1 Equivalent Data,
57,Track 2 Equivalent Data,"Contains the data objects of the track 2, in accordance with [ISO/IEC 7813], excluding start sentinel, end sentinel, and LRC."
57,Track 2 Equivalent Data,"Contains the data elements of track 2 according to ISO/IEC 7813, excluding start sentinel, end sentinel, and Longitudinal Redundancy Check (LRC), as follows:"
,,Primary Account Number
,,Field Separator (Hex 'D')
,,Expiration Date (YYMM)
,,Service Code
,,Discretionary Data (defined by individual payment systems)
,,Pad with one Hex 'F' if needed to ensure whole bytes
57,Track 2 Equivalent Data,"Contains the data elements of track 2 according to ISO/IEC 7813, excluding start sentinel, end sentinel, and Longitudinal Redundancy Check (LRC), as follows:"
,,Primary Account Number
,,Field Separator (Hex 'D')
,,Expiration Date (YYMM)
,,Service Code
,,Discretionary Data (defined by individual payment systems)
,,Pad with one Hex 'F' if needed to ensure whole bytes
57,Track 2 Equivalent Data,"Image of magnetic stripe Track 2. (For Kernel 4, Track 2 Equivalent Data may not be an exact image of magnetic stripe Track 2.)"
57,Track 2 Equivalent Data,"Contains the data elements of track 2 according to ISO/IEC 7813, excluding start sentinel, end sentinel, and Longitudinal Redundancy Check (LRC)."
58,Track 3 Equivalent Data,
59,Card expiration date,
5A,Application Primary Account Number (PAN),Valid cardholder account number
5A,Application Primary Account Number (PAN),"Cardholder account number. READ RECORD For transactions where Offline Data Authentication is performed, the Application PAN is returned. For transactions where Offline Data Authentication is not performed, the Application PAN does not need to be returned."
5A,Application Primary Account Number (PAN),Card Number. The Primary Account Number must be maintained as the same value for both the Kernel 4 mag-stripe mode and the EMV mode.
5A,Application Primary Account Number (PAN),Valid cardholder account number
5B,Name of an individual,
5C,Tag list,
5D,Deleted (see 9D),
5D,Header list,
5E,Proprietary login data,
5F20,Cardholder Name,Indicates cardholder name according to ISO 7813
5F20,Cardholder Name,Indicates cardholder name according to ISO 7813
5F20,Cardholder Name,Indicates cardholder name according to ISO 7813
